,id,type,n_likes,n_comments
565,566,Sidecar,15068.0,73.0
566,567,Sidecar,3718.0,25.0
567,568,Sidecar,881.0,3.0
568,569,Sidecar,18469.0,57.0
569,570,Sidecar,2756.0,23.0
570,571,Sidecar,2183.0,24.0
571,572,Sidecar,1707.0,24.0
572,573,Sidecar,710.0,18.0
573,574,Sidecar,1586.0,15.0
574,575,Sidecar,374.0,0.0
575,576,Sidecar,464.0,1.0
576,577,Sidecar,136.0,0.0
577,578,Sidecar,4314715.0,8273.0
578,579,Sidecar,64023.0,177.0
579,580,Sidecar,5090976.0,10618.0
580,581,Sidecar,9528960.0,18429.0
581,582,Sidecar,5970056.0,14355.0
582,583,Sidecar,42797.0,481.0
583,584,Sidecar,10633517.0,30201.0
584,585,Sidecar,5917917.0,10095.0
585,586,Sidecar,774.0,7.0
586,587,Sidecar,2541.0,6.0
587,588,Sidecar,1309.0,6.0
588,589,Sidecar,844.0,9.0
589,590,Sidecar,5072.0,27.0
590,591,Sidecar,2004.0,18.0
591,592,Sidecar,1379.0,13.0
592,593,Sidecar,4496011.0,10272.0
593,594,Sidecar,465.0,4.0
594,595,Sidecar,1260.0,11.0
595,596,Sidecar,2115.0,11.0
596,597,Sidecar,235.0,0.0
597,598,Sidecar,2227.0,14.0
598,599,Sidecar,2578.0,45.0
599,600,Sidecar,216.0,2.0
600,601,Sidecar,24351.0,75.0
601,602,Sidecar,2867.0,21.0
602,603,Sidecar,341.0,8.0
603,604,Sidecar,1011.0,12.0
604,605,Sidecar,398.0,8.0
605,606,Sidecar,862.0,67.0
606,607,Sidecar,52170.0,209.0
607,608,Sidecar,483.0,10.0
608,609,Sidecar,9598.0,30.0
609,610,Sidecar,192271.0,586.0
610,611,Sidecar,236.0,2.0
611,612,Sidecar,1684.0,16.0
612,613,Sidecar,607.0,13.0
613,614,Sidecar,3545.0,66.0
614,615,Sidecar,40523.0,159.0
615,616,Sidecar,29681.0,174.0
616,617,Sidecar,787.0,3.0
617,618,Sidecar,2725.0,94.0
618,619,Sidecar,785.0,0.0
619,620,Sidecar,47122.0,226.0
620,621,Sidecar,56649.0,146.0
621,622,Sidecar,36816.0,258.0
622,623,Sidecar,2190.0,46.0
623,624,Sidecar,741.0,17.0
624,625,Sidecar,42229.0,314.0
625,626,Sidecar,3569.0,133.0
626,627,Sidecar,1139.0,25.0
627,628,Sidecar,721.0,17.0
628,629,Sidecar,1433.0,62.0
629,630,Sidecar,29709.0,122.0
630,631,Sidecar,790.0,32.0
631,632,Sidecar,507.0,5.0
632,633,Sidecar,464.0,8.0
633,634,Sidecar,14369.0,40.0
634,635,Sidecar,1764.0,10.0
635,636,Sidecar,12541.0,34.0
636,637,Sidecar,4147912.0,22310.0
